Job Title,Company,Location,Posted Date,Apply Link,Skills Required,Responsibilities,Experience,Salary
Threat Intelligence Analyst,Trellix,"Reston, VA, US",2024-09-11T23:40:11.000Z,https://www.linkedin.com/jobs/view/threat-intelligence-analyst-at-trellix-4023785170?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"You maintain current knowledge of the cyber threat landscape, including advanced persistent threats; including motivations, attack vectors, tools, and tactics, techniques, and procedures (TTPs) of attackers, You are self-motivated and passionate about cybersecurity, You have a keen interest in tracking threat actors, You have a strong understanding of structured analytical techniques, including but not limited to Quality of Information Check, Analysis of Competing Hypotheses, Key Assumptions Check, and Gap Analysis, You are a strong critical thinker with the ability to avoid biases, You are able to produce clear, complete, and concise reporting in a timely manner with extreme attention to detail, You have expertise with cyber threats, attack vectors, detection capabilities, and associated countermeasures, You have experience with open-source intelligence collection and associated methods and tools, You have experience working with Security Operations Center to monitor security alerts, respond and remediate detected issues, You have a clear understanding of organizational Incident Management processes in relation to threats and vulnerabilities, You have knowledge and experience with XD, R/EDR, Endpoint Security tools (AV, whitelisting, etc.) and Threat Hunting, You have a high-level understanding of malware types, malware detection methods, and malware analysis techniques, You possess knowledge of MITRE ATTACK and DEFEND frameworks along with Kill Chain methodology and the Diamond Model, You have experience with identifying and mitigating cyber threats, including detection and countermeasures strategies and tools, You understand technical vulnerabilities and associated risk, You have experience with a SIEM tool and working with SIEM Analyst, You have experience with event correlation and analysis, You are willing to travel, At least 10 years of intelligence gathering, analysis, and reporting experience, Bachelor’s degree in information security, cyber discipline, political science or a related analytical field, DoD 8570.01 Information Assurance Technical (IAT) Level II, required (or a willingness to achieve IAT Level II within six months of hiring), Clearance Requirement: U.S. Citizenship","The Threat Intelligence Analyst will collaborate with customers to enhance their cyber threat intelligence capabilities by leveraging the experience, knowledge, tools, and data of the Trellix cyber defense enterprise, The role is responsible for delivering cyber threat intelligence services, which include knowledge of sophisticated threat actors and associated tactics, techniques, and procedures, along with research, collection, analysis, and reporting of finished intelligence, The role will support customer security operations including planning and risk assessment, vulnerability assessment, 24x7x365 monitoring, and incident response, The Threat Intelligence Analyst will report to the Director of the TIG, As a member of the TIG, the Analyst will collaborate with TIG teammates, members of Trellix’ Advanced Research Center, Trellix Professional Services Consultants, and third-party partners, The analyst will serve as a primary customer interface and will become immersed in customer operations through rapid learning and establishing relationships, You will serve as a cyber threat intelligence subject matter expert and trusted advisor, You will integrate with customers’ operations-intelligence cycles to inject cyber threat intelligence, You will develop information/intelligence requirements and associated priorities, You will identify intelligence gaps and opportunities to improve intelligence sharing and utility, You will create tailored strategies for research, data collection, analysis, and reporting focused on customers’ areas of interest, You will develop comprehensive responses to customer requests for information/intelligence (RFIs), You will perform all-source research and analysis using Trellix tools and data sets, third party tools, and open sources, You will develop comprehensive written and oral reporting including peer review and quality assurance, You will identify relationships between malicious cyber activity and world events such as geo-political events, natural disasters, crises, etc, You will deliver oral and written threat intelligence reports and presentations to customer teams comprised of representatives of varying organizational levels up to senior executive level (general officers, flag officers, SES/SIS, and C-Suite)",0 months, None - None
Threat Intelligence Analyst,109 Trellix Public Sector LLC,"Columbia, MD, US",2024-09-11T00:00:00.000Z,https://trellix.wd1.myworkdayjobs.com/en-US/EnterpriseCareers/job/Threat-Intelligence-Analyst_JR0033355?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"You maintain current knowledge of the cyber threat landscape, including advanced persistent threats; including motivations, attack vectors, tools, and tactics, techniques, and procedures (TTPs) of attackers, About You: You are self-motivated and passionate about cybersecurity, You have a keen interest in tracking threat actors, You have a strong understanding of structured analytical techniques, including but not limited to Quality of Information Check, Analysis of Competing Hypotheses, Key Assumptions Check, and Gap Analysis, You are a strong critical thinker with the ability to avoid biases, You are able to produce clear, complete, and concise reporting in a timely manner with extreme attention to detail, You have expertise with cyber threats, attack vectors, detection capabilities, and associated countermeasures, You have experience with open-source intelligence collection and associated methods and tools, You have experience working with Security Operations Center to monitor security alerts, respond and remediate detected issues, You have a clear understanding of organizational Incident Management processes in relation to threats and vulnerabilities, You have knowledge and experience with XD, R/EDR, Endpoint Security tools (AV, whitelisting, etc.) and Threat Hunting, You have a high-level understanding of malware types, malware detection methods, and malware analysis techniques, You possess knowledge of MITRE ATTACK and DEFEND frameworks along with Kill Chain methodology and the Diamond Model, You have experience with identifying and mitigating cyber threats, including detection and countermeasures strategies and tools, You understand technical vulnerabilities and associated risk, You have experience with a SIEM tool and working with SIEM Analyst, You have experience with event correlation and analysis, You are willing to travel, Required Qualifications: At least 10 years of intelligence gathering, analysis, and reporting experience, Bachelor’s degree in information security, cyber discipline, political science or a related analytical field, DoD 8570.01 Information Assurance Technical (IAT) Level II, required (or a willingness to achieve IAT Level II within six months of hiring) Clearance Requirement: U.S. Citizenship Company Benefits and Perks: We work hard to embrace diversity and inclusion and encourage everyone to bring their authentic selves to work every day","The Threat Intelligence Analyst will collaborate with customers to enhance their cyber threat intelligence capabilities by leveraging the experience, knowledge, tools, and data of the Trellix cyber defense enterprise, The role is responsible for delivering cyber threat intelligence services, which include knowledge of sophisticated threat actors and associated tactics, techniques, and procedures, along with research, collection, analysis, and reporting of finished intelligence, The role will support customer security operations including planning and risk assessment, vulnerability assessment, 24x7x365 monitoring, and incident response, About the Role: The Threat Intelligence Analyst will report to the Director of the TIG, As a member of the TIG, the Analyst will collaborate with TIG teammates, members of Trellix’ Advanced Research Center, Trellix Professional Services Consultants, and third-party partners, The analyst will serve as a primary customer interface and will become immersed in customer operations through rapid learning and establishing relationships, You will serve as a cyber threat intelligence subject matter expert and trusted advisor, You will integrate with customers’ operations-intelligence cycles to inject cyber threat intelligence, You will develop information/intelligence requirements and associated priorities, You will identify intelligence gaps and opportunities to improve intelligence sharing and utility, You will create tailored strategies for research, data collection, analysis, and reporting focused on customers’ areas of interest, You will develop comprehensive responses to customer requests for information/intelligence (RFIs), You will perform all-source research and analysis using Trellix tools and data sets, third party tools, and open sources, You will develop comprehensive written and oral reporting including peer review and quality assurance, You will identify relationships between malicious cyber activity and world events such as geo-political events, natural disasters, crises, etc, You will deliver oral and written threat intelligence reports and presentations to customer teams comprised of representatives of varying organizational levels up to senior executive level (general officers, flag officers, SES/SIS, and C-Suite)",0 months, None - None
Insider Threat Analyst,Department of Homeland Security - Agency Wide,"Washington, DC, US",2024-04-24T00:00:00.000Z,https://www.usajobs.gov/job/788310100?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Must be a current permanent, full-time federal employee",Not specified,0 months, 99200 - 99200
Cyber Threat Intelligence (CTI) Collections Manager,Bank of America,"Washington, DC, US",2024-09-07T20:27:46.000Z,https://www.linkedin.com/jobs/view/cyber-threat-intelligence-cti-collections-manager-at-bank-of-america-4020212488?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"The lead must demonstrate exceptional organizational and cross-functional communication skills and work independently with assistance, direction, and goal setting from the CTI Cyber Threat Analysis Manager, The individual should possess a comprehensive understanding of how cyber threats impact business objectives and requires excellent honed communication skills to negotiate internally, often at a senior level, Technical or information security certifications are a strong plus, 5-7 years’ experience in cyber threat intelligence, 5+ year managing a team, 5+ years working in a 24x5 operational environment, Proficient in utilizing current intelligence related automation, requirements based applications, tools, and databases to support collection, analytical efforts and product development, Experience with Threat Intelligence platforms and workflows","The CTI Collections Manager leads and executes CTI’s global collections strategy to focus on Priority Intelligence Requirements (PIR), Strategic Intelligence Requirements (SIR), Requests for Information (RFI) and Vendor Management, This is a lead role in helping stakeholders anticipate and define future needs, validate, and deliver them as required, The Collections Manager tracks delivery of production and maintains metrics to ensure CTI is meeting consumer’s needs, This is an individual contributor role managing processes it is not managing a team, CTI Collections Manager works closely with other CTI functional teams including Strategic Analysis, Rapid Intelligence and Enterprise Engagement as part of a comprehensive threat intelligence program to protect the firm from threats that could impact the firm, employees and customers, As part of this effort, the CTI Collections Manager coordinates with analyst teams and key stakeholders to identify intelligence gaps and develop strategies to close and/or mitigate risk related to these gaps, The Collections Manager is responsible for drafting Standing and Sub Intelligence Requirements, providing briefings to GIS response teams, enterprise counterparts, and senior leadership on key changes to intelligence needs, Develop, plan, support, and provide guidance and oversight on all intelligence collections and production management functions, projects and activities, Manage day-to-day operational aspects of CTI Collections Management program and coordinate with global staff and external vendors, Coordinate creation of new PIR/SIRs with enterprise partners, develop collection plans and strategies that set priorities for collection, Coordinate with appropriate GIS Control Teams for inclusion of customer requirements and ensure they are aware of the firm’s Standing and Priority Intelligence Requirements, Maintain a working knowledge of the broad cyber threat and geopolitical landscape; help drive collections priorities globally across the firm, Communicate complex topics effectively, written and verbally, at all management levels of the organizations and educate and advise internal business and technical leaders regarding cyber threats and possible security solutions, Develop and maintain collection automation efforts in coordination with the CTI team and SOAR functions, Manage CTIs process, control and metrics inventory around the effectiveness of collection sources",0 months, None - None
Cyber Vulnerability Assessment Analyst Jobs,Anonymous Employer,"Ashburn, VA, US",2024-09-09T23:26:18.000Z,https://www.clearancejobs.com/jobs/6369097/cyber-vulnerability-assessment-analyst?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Bachelors’ degree from an accredited college in a related discipline, or equivalent experience/combined education, with 2-4 years of professional experience; or 1-2 years of professional experience with a Masters’ degree, At least one year direct experience in vulnerability assessment, particularly as part of a team, Substantial knowledge, skills, and abilities (KSAs) in Nessus, Burpsuite, and/or Tenable, The ideal candidate is a self-motivated individual in pursuit of a career in cyber security, All Department of Homeland Security NOSC employees are required to obtain an Entry on Duty (EOD) clearance to support this program, Must Have One of the Following J3 Certifications, CompTIA: Security+, CASP","Create and publish security-related alerts, bulletins, and notifications to all DHS components based on identified software and hardware vulnerabilities and monitor for compliance, Continuously research emerging threats to the environment in order to disseminate the information to all stakeholders, immediately assess the known environment for presence of the vulnerability, and work with the NOSC and enterprise networking teams to proactively block exploitation within the DHS environment, Internal and External Vulnerability Assessment, Conduct scheduled and ad-hoc vulnerability scanning, Employ ad-hoc or emergency Vulnerability Assessment (VA) scanning to support targeted incident investigation, escalation, and emergency response to security events in accordance with documented procedures, Coordinate with Component security staff to explain findings, provide recommendations on mitigations, and advocate for mitigation of vulnerabilities, Conduct, operate, and maintain vulnerability assessments and the resulting data and reports, Conduct Host-based and Network Vulnerability Assessments, Conduct Database Vulnerability Assessments, Conduct Web-based Vulnerability Assessments",24 months, None - None
Computer Network Defense (CND) Vulnerability Assessment Specialist - Top Secret clearance,Riptide Technology,"Springfield, VA, US",2024-09-05T00:00:00.000Z,https://jobs.lever.co/RiptideTech/2d398405-d1eb-4e87-a7b5-6b9791973d11?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"This position will require U.S. Citizenship and an active DoD TS/SCI clearance with the ability to obtain and maintain a Counterintelligence (CI) Polygraph, Seven or more years of progressive, hands-on experience as a cybersecurity analyst, administrator, or engineer responsible for Enterprise vulnerability management toolsets (e.g., ACAS, Tenable, Nessus, Rapid7, AppSpider, SCAP, STIG Viewer, etc.), Demonstrated proficiency and expertise in the following areas:, Applying computer networking concepts, protocols, and security methodologies to Enterprise information systems, Developing and applying risk management methodologies and processes (e.g., methods for assessing and mitigating risk), Securing and evaluating information systems for compliance with DISA STIGs, Excellent initiative, problem-solving, and analytical skills with an ability to work both independently and as a team, Excellent written, verbal, communication, presentation, and reporting skills, Shall meet the minimum credential requirements for a Cyber IT/Cybersecurity Workforce (CSWF) position as defined for Vulnerability Assessment Analyst (541) Intermediate Level, Bachelor's degree from an accredited University; or, CompTIA Security+ ce; or, GIAC Security Essentials Certification (GSEC); or, Systems Security Certified Practitioner (SSCP) OR","Developing and executing the organization's continuous vulnerability assessment strategy, Measuring the effectiveness of defense-in-depth mechanisms against vulnerabilities and developing recommendations to remediate systemic security issues, Configuring, operating, maintaining, and evaluating the effectiveness of vulnerability scanning and assessment toolsets, Monitoring, evaluating, and reporting on system/network misconfigurations, non-compliance, unauthorized assets, false positives, and baseline deviations, Assessing the level of risk introduced by vulnerabilities and developing remediation strategies, Investigating and analyzing cybersecurity incidents to ensure the appropriate response activities and mitigations are applied, Distributing periodic vulnerability assessment reports, summaries, notifications, and an annual vulnerability assessment scorecard to CIO leadership and IT stakeholders, Developing and maintaining documentation as it pertains to the use and operation of vulnerability assessment tools and methodologies (SOPs, assessment plants, test plants, etc.)",0 months, None - None
Vulnerability Assessment Analyst,"Zolon Tech Solutions, Inc.","North Springfield, VA, US",2024-08-22T00:00:00.000Z,https://www.adzuna.com/details/4836214423?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Skill in the use of penetration testing tools and techniques, Skill to apply cyber security and privacy principles to organizational requirements (relevant to confidentiality, integrity, availability, authentication, non-repudiation), Skill in assessing the robustness of security systems and designs, Skill in detecting host and network based intrusions via intrusion detection technologies (e.g., Snort), Skill in mimicking threat behaviors, Skill in the use of social engineering techniques, (e.g., phishing, baiting, tailgating, etc.), Skill in using network analysis tools to identify vulnerabilities, (e.g., fuzzing, nmap, etc.), Skill in reviewing logs to identify evidence of past intrusions, Skill in conducting application vulnerability assessments, Skill in performing impact/risk assessments, Skill to develop insights about the context of an organization's threat environment, Bachelors degree in cybersecurity or IT related field, Abilities:Ability to identify systemic security issues based on the analysis of vulnerability and configuration data, Ability to apply programming language structures (e.g., source code review) and logic, Ability to share meaningful insights about the context of an organization's threat environment that improves its risk management posture, Required Certification:IAT Level 2 and Two Penetration Testing Certifications w/ At Least One Being an Advanced Certification (e.g., OSCP, OSCE, OSEE, GSE, GXPN, CPT)","Job Description:Work Role Description Performs assessments of systems and networks within the NE or enclave and identifies where those systems/networks deviate from acceptable configurations, enclave policy, or local policy, Measures effectiveness of defense-in-depth architecture against known vulnerabilities, Analyze organization's cyber defense policies and configurations and evaluate compliance with regulations and organizational directives, Conduct and/or support authorized penetration testing on enterprise network assets, Maintain deployable cyber defense audit toolkit (e.g., specialized cyber defense software and hardware) to support cyber defense audit missions, Maintain knowledge of applicable cyber defense policies, regulations, and compliance documents specifically related to cyber defense auditing, Prepare audit reports that identify technical and procedural findings and provide recommended remediation strategies/solutions, Conduct required reviews as appropriate within environment (e.g., Technical Surveillance, Countermeasure Reviews [TSCM], TEMPEST countermeasure reviews), Perform technical (evaluation of technology) and nontechnical (evaluation of people and operations) risk and vulnerability assessments of relevant technology focus areas (e.g., local computing environment, network and infrastructure, enclave boundary, supporting infrastructure, and applications), Make recommendations regarding the selection of cost-effective security controls to mitigate risk (e.g., protection of information, systems, and processes)",Experience not mentioned, None - None
Vulnerability Assessment Analyst - Intermediate,"RiVidium, Inc","None, VA, US",2024-09-06T02:47:21.000Z,https://clearedcareers.com/job/535935/vulnerability-assessment-analyst-intermediate/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Bachelor's degree or higher from an accredited college or university from an accredited institution in Computer Science, Cyber Security, Information Technology, Software Engineering, Information Systems, or Computer Engineering degree; or a degree in a Mathematics or Engineering field, Knowledge of Government standards for data security such as markings, handling of classified and unclassified information, and how to handle the distribution of this information, Knowledge of computer networking concepts and protocols, and network security methodologies, risk management processes (e.g., methods for assessing and mitigating risk), and laws, regulations, policies, and ethics as they relate to cybersecurity and privacy, Knowledge of cyber threats and vulnerabilities, and operational impacts of cybersecurity lapses, Knowledge of cryptography and cryptographic key management concepts and host/network access control mechanisms (e.g., access control list, capabilities list), Knowledge of how traffic flows across the network (e.g., Transmission Control Protocol [TCP] and Internet Protocol [IP], Open System Interconnection Model [OSI], Information Technology Infrastructure Library, current version [ITIL]), Knowledge of system and application security threats and vulnerabilities (e.g., buffer overflow, mobile code, cross-site scripting, Procedural Language/Structured Query Language [PL/SQL] and injections, race conditions, covert channel, replay, return-oriented attacks, malicious code), Knowledge of what constitutes a network attack and a network attack's relationship to both threats and vulnerabilities, Knowledge of cyber-attack stages (e.g., reconnaissance, scanning, enumeration, gaining access, escalation of privileges, maintaining access, network exploitation, covering tracks), TS/SCI eligible, subject to CI Polygraph, Meet DoD 8570/8140 requirements at a minimum IAM or IAT Level 2 certification, e.g, Security+, GSEC, CAP, CASP, CISSP, GSLC, Two Penetration Testing Certifications (e.g., GPEN, GWAT, GCIH, CEH, GPYC, LPT, CPT)","Performing assessments of systems and networks within the network environment or enclave and identifying where those systems/networks deviate from acceptable configurations, enclave policy, or local policy, Developing measures of effectiveness for defense-in-depth architectures against known vulnerabilities, Identifying systemic security issues based on the analysis of vulnerability and configuration data, Apply programming language structures (e.g., source code review) and logic, Sharing meaningful insights about the context of an organization's threat environment that improves its risk management posture, Apply cybersecurity and privacy principles to organizational requirements (relevant to confidentiality, integrity, availability, authentication, non-repudiation), Provide analysis and remediation recommendations to address Tasking Orders (TASKORD), POA&Ms, Operational Orders (OPORDS), Information Assurance Vulnerability Management (IAVMs), Vulnerability Disclosure Program (VDP), Period of Non-Disruption (POND), Operational Planning (OPLAN), Rouge System Detection, and Security Technical Implementation Guide (STIG) compliance as required within government directed timelines across the entirety of client's enterprise, Provide support to Vulnerability Management initiatives and tools (e.g., Red Seal, Web-Inspect) over the entirety of the SDLC, Support TASKORDs tickets that require remediation, fix validation, tracking and ticket closures, Reviewing logs to identify evidence of past intrusions and conducting application vulnerability assessments, Conducting ethical hacking and penetration testing following established principles and techniques",Experience not mentioned, None - None
Vulnerability Assessment Analyst,Zolon Tech Inc.,"Springfield, VA, US",2024-08-21T16:37:23.000Z,https://www.linkedin.com/jobs/view/vulnerability-assessment-analyst-at-zolon-tech-inc-4004980266?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Skill in conducting vulnerability scans and recognizing vulnerabilities in security systems, Skill in assessing the robustness of security systems and designs, Skill in detecting host and network-based intrusions via intrusion detection technologies (e.g., Snort), Skill in mimicking threat behaviors, Skill in the use of penetration testing tools and techniques, Skill in the use of social engineering techniques, Skill in using network analysis tools to identify vulnerabilities, (e.g., fuzzing, nmap, etc.), Skill in reviewing logs to identify evidence of past intrusions, Skill in conducting application vulnerability assessments, Skill in performing impact/risk assessments, Skill to develop insights about the context of an organization's threat environment, Skill to apply cybersecurity and privacy principles to organizational requirements (relevant to confidentiality, integrity, availability, authentication, non-repudiation), Education: Bachelor's degree in cybersecurity or IT-related field, Required Clearance: TS/SCI, Required Certification: IAT Level 2 and Two Penetration Testing Certifications w/ At Least One Being an Advanced Certification (e.g., OSCP, OSCE, OSEE, GSE, GXPN, CPT), Ability to identify systemic security issues based on the analysis of vulnerability and configuration data, Ability to apply programming language structures (e.g., source code review) and logic, Ability to share meaningful insights about the context of an organization's threat environment that improves its risk management posture","Work Role Description Performs assessments of systems and networks within the NE or enclave and identifies where those systems/networks deviate from acceptable configurations, enclave policy, or local policy, Measures effectiveness of defense-in-depth architecture against known vulnerabilities, Analyze the organization's cyber defense policies and configurations and evaluate compliance with regulations and organizational directives, Conducted and/or supported authorized penetration testing on enterprise network assets, Maintain deployable cyber defense audit toolkit (e.g., specialized cyber defense software and hardware) to support cyber defense audit missions, Maintain knowledge of applicable cyber defense policies, regulations, and compliance documents related to cyber defense auditing, Prepare audit reports that identify technical and procedural findings and recommend remediation strategies/solutions, Conduct required reviews as appropriate within the environment (e.g., Technical Surveillance, Countermeasure Reviews [TSCM], TEMPEST countermeasure reviews), Perform technical (evaluation of technology) and nontechnical (evaluation of people and operations) risk and vulnerability assessments of relevant technology focus areas (e.g., local computing environment, network and infrastructure, enclave boundary, supporting infrastructure, and applications), Make recommendations regarding the selection of cost-effective security controls to mitigate risk (e.g., protection of information, systems, and processes)",Experience not mentioned, None - None
Cyber Vulnerability Assessment Analyst,Leidos Holding,"Ashburn, VA, US",2024-06-09T09:23:06.000Z,https://www.theladders.com/job/cyber-vulnerability-assessment-analyst-leidosholding-ashburn-va_72530999?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Security Clearance Required: Active/Current Top Secret clearance to be considered, Must be US Citizen, Bachelors' degree from an accredited college in a related discipline, or equivalent experience/combined education, with 2-4 years of professional experience; or 1-2 years of professional experience with a Masters' degree, At least two years of direct experience in vulnerability assessment/management, Familiar with the management, operational, and technical aspects of IT Security in a complex environment, Experience working with industry-standard cybersecurity methodologies and processes Advanced knowledge of TCP/IP protocols Experience configuring and implementing various technical security solutions, Substantial experience managing vulnerability/compliance scans using Nessus, Burpsuite, and/or Tenable, The ideal candidate is a self-motivated individual in pursuit of a career in cyber security, CompTIA: CASP, Pentest+, SANS GIAC: GPEN, GWAPT, GSNA, GISF, GAWN, GXPN, GWEB, Offensive Security: OSCP, OSCE, OSWP, OSEE, ISC2: CISSP, EC Council: CEH, Splunk: Core Certified Advanced Power User, Core Certified Consultant, SOAR Certified Automation Developer, eLearn: Security Certified Professional Penetration Tester (eCPPT), Original Posting Date: 2024-04-10While subject to change based on business needs, Leidos reasonably anticipates that this job requisition will remain open for at least 3 days with an anticipated close date of no earlier than 3 days after the original posting date as listed above","The DHS NOSC has primary responsibility for monitoring and responding to security events and incidents detected at the Trusted Internet Connection (TIC) and Policy Enforcement Point (PEP) and is responsible for directing and coordinating detection and response activities performed by each Component Security Operations Center (SOC), Direction and coordination are achieved through a shared DHS incident tracking system and other means of coordination and communication, Continuously research emerging threats to the environment in order to disseminate the information to all stakeholders, immediately assess the known environment for presence of the vulnerability, and work with the NOSC and enterprise networking teams to proactively block exploitation within the DHS environment, Perform enterprise-wide network scans, agent scans, including credentialed scans of UNIX, Windows, Network devices, and VMware assets, Develop and execute vulnerability/compliance scans through Tenable.SC interface, determine whether a completed scan has provided valid results, and generate a variety of reports to meet customer needs and expectations, Configure and maintain scan templates based on asset types, repository, credentials, etc. in support of continuous scanning requirements for various FISMA systems, Perform security compliance and vulnerability assessments, specifically developing and applying STIG or CIS baselines for various operating systems, including Windows or RHEL and CentOS, Maintain, optimize, and troubleshoot scan policies and repositories, Manage scan policies for multiple FISMA systems, Perform vulnerability analysis from scan results and prioritize vulnerabilities and findings for remediation, Coordinate with NOSC cybersecurity leadership, FISMA system ISSOs, and system owners to explain findings, provide recommendations on mitigations, and advocate for mitigation of vulnerabilities, Conduct scheduled and ad-hoc or emergency vulnerability/compliance scanning to support targeted incident investigation, escalation, and emergency response to security events in accordance with documented procedures, Conduct Host-based and Network Vulnerability Assessments, Conduct Database Vulnerability Assessments, Conduct Web-based Vulnerability Assessments, Author and maintain SOPs and runbooks, Other duties as assigned",24 months, 65000 - 117500
Malware Analyst and Reporter,Booz Allen Hamilton,"Annapolis Junction, MD, US",2024-09-13T09:10:52.000Z,https://www.linkedin.com/jobs/view/malware-analyst-and-reporter-at-booz-allen-hamilton-4007828652?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Experience with malware reverse engineering using static and dynamic analysis tools, including disassemblers, debuggers, virtual machines, or hex editors, Experience with the identification and classification of malware families based on standard taxonomy and typical malware attack methodologies, Knowledge of operating systems, including Windows, Linux, and Mac, application behaviors, and network traffic analysis to identify malware exploits, Ability to write clear and concise malware reports for dissemination, Ability to reverse engineer binaries of various types, including x86, x64, C, C++, .NET, and Delphi, Ability to analyze shellcode, packed and obfuscated code, and the associated algorithms, Bachelor's degree and 2+ years of experience with malware analysis and reporting or 6+ years of experience with malware analysis and reporting in lieu of a degree, Master's degree in a related field, GREM Certification","You’ll evaluate and analyze complex malicious code using tools, including disassemblers, debuggers, hex editors, un–packers, virtual machines, and network sniffers, You’ll provide the findings in a technical report with details of the malware, identification parameters, advanced capabilities, and mitigation strategies, You’ll perform research in malicious software, vulnerabilities, and exploitation tactics, You’ll lead the development of prototype application software or systems to demonstrate the capability or exploitation of a vulnerability, If this position is listed as onsite, you’ll work with colleagues and clients in person, as needed for the specific role",24 months, None - None
Malware Analyst II or III- Pipeline,"Integrity Technology Consultants, Inc.","Annapolis Junction, MD, US",2024-05-29T20:23:54.000Z,https://recruiting.paylocity.com/recruiting/jobs/Details/1561360/Integrity-Technology/Malware-Analyst-II-or-III--Pipeline?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Minimum 10 years of experience as a Malware Analyst, Minimum of Bachelor’s Degree from an accredited college or university in Computer Engineering, Computer Science, Cybersecurity, Computer Engineering, or related discipline, Strong attention to detail and organizational skills, Excellent communications skills, Understands source code, hex, binary, regular expression, data correlation, and analysis such as firewall, network flow, and system logs, Familiar with security concepts, protocols, processes, architectures, and tools (authentication and access control technologies, incident handling, etc, Coordinates effort to develop and analyze Defensive Cyberspace Operations (DCO), Computer Network Exploitation (CNE), and Offensive Cyberspace Operations (OCO) solutions, A minimum of DOD 8140/DOD 8570 IAM Level II Certification, CSSP Incident Responder, or CSSP Infrastructure Support","Candidate will support malware analyst efforts required for delivery of Mission Assurance (MA) products as part of the effort to facilitate, evaluate, and report on malware in support of cyberspace operations, While representing USCYBERCOM, the candidate provides requirements, and integration support for malware analysis; updates and report on the status of assigned Workflow Management System (WMS) malware tasks; participates in technical working groups and discussions to influence recommendations to malware analysis and exploitation strategy; facilitate SSP development and certification and accreditation support for new malware analysis systems; performs triage, static, and dynamic malware analysis, and best-practice malware analytics methodologies; support operations oversight and governance for malware throughout the DODIN, Possesses mid to senior-level experience as a Malware Analyst with a background in cutting-edge cyberspace technologies, Applies knowledge on subjects relating to the conduct of Malware Analysis activities through governance, policy oversight, and business practices, Works under consultative direction toward predetermined Mission Assurance goals and objectives; assignments are often self-initiated, Develops, researches, and maintains proficiency in tools, techniques, countermeasures, and trends in computer and network vulnerabilities, data hiding, and encryption, Performs in-depth detailed research of software and methodologies to build defensive and offensive technical capabilities for USCYBERCOM, Often and without source code or documentation, performs system analysis, reverse engineering, as well as best practice malware analytics methodologies and analysis on Windows, Android, or UNIX-based platforms, Creates malware detection topologies; conducts vulnerability assessments/penetration tests of information systems",0 months, None - None
JUNIOR RISK ANALYST,Export-Import Bank of the United States,"Washington, DC, US",2024-09-11T00:00:00.000Z,https://www.usajobs.gov/job/808995300?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,Not specified,Not specified,0 months, 68405 - 68405
Third-Party Risk Management (TPRM) Manager,Horizon Farm Credit,"Bel Air, MD, US",2024-08-20T00:00:00.000Z,https://jobs.theiia.org/job/third-party-risk-management-tprm-manager/74852312/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,Not specified,"In this pivotal role, you’ll set policy and governance, and provide risk advisory, balancing risk with business opportunities, You’ll also oversee third-party risk and control assessments, ensuring our operations run smoothly and securely, Additionally, you’ll manage procurement functions related to operational vendors, including preparing RFPs, RFQs, and handling contract/pricing negotiations, Be a part of a forward-thinking team where your expertise will drive innovation and safeguard our company’s integrity, As the Third-Party Risk Management (TPRM) Manager at HFC, you will:, Maintain a risk-based framework for TPRM, prioritizing critical vendors that pose the greatest threat to HFC’s business objectives, Provide thought leadership to continuously improve and streamline the framework, aligning with risk vs. reward principles and applicable laws and regulations, Maintain a comprehensive inventory of third-party vendors, cataloged by commodity, engagement, service criticality, risk, and other key attributes to oversee critical vendors supporting essential business processes, Conduct risk-based due diligence across key areas, including information security, geographical factors, compliance, financial viability, and resilience, Implement ongoing monitoring capabilities to track changes in vendors’ risk profiles, regularly reviewing and updating risk assessments based on changes, Develop clear and concise reports highlighting key risk metrics and insights for business leadership, facilitating informed decision-making and heightened awareness of potential threats, Proactively identify and escalate risks associated with vendor concentration and dependencies, as well as risks from fourth-party relationships, ensuring appropriate actions are taken to mitigate exposures, including adequate contingency planning, Develop and deliver educational, awareness, and training programs to enhance understanding of third-party risks among key stakeholders and business leadership, empowering them to make risk-informed decisions, Manage and develop correspondence with vendors regarding RFPs, RFQs, pricing and contract negotiations, and contract/service management",0 months, None - None
